name,neighborhood,borough,website,menu_url,notes,source
Bayard's Ale House,West Village,Manhattan,https://bayardsalehouse.com/,https://www.allmenus.com/ny/new-york/351920-bayards-ale-house/amp/,Charcoal-grilled beef burgers,pilot-100
Petite Boucherie,West Village,Manhattan,unknown,https://menurestaurants.net/pdf/61a2783fa826ba10bfa7320cd490cc0e.pdf,"Boucherie Burger, French bistro",pilot-100
Corner Bistro,West Village,Manhattan,http://www.cornerbistrony.com/,https://www.trycaviar.com/store/corner-bistro-new-york-23083522/,Broiled Bistro Burger classic,pilot-100
RH Rooftop Restaurant,West Village,Manhattan,http://www.rh.com/newyork/restaurant,,"Rooftop RH burger, Ninth Avenue",pilot-100
Palma,West Village,Manhattan,https://www.palmanyc.com/,,"Italian burger, Cornelia Street",pilot-100
Serafina Meatpacking,West Village,Manhattan,unknown,,Meatpacking Italian beef burger,pilot-100
Art Bar,West Village,Manhattan,unknown,,8th Avenue bar burger,pilot-100
Sip & Guzzle,West Village,Manhattan,http://www.sipandguzzlenyc.com/,,"A5 Wagyu Tavern Burger, izakaya",pilot-100
Suprema Provisions,West Village,Manhattan,https://www.supremanyc.com/,https://www.supremanyc.com/menus/,Short-rib brisket Suprema Burger,pilot-100
Le B,West Village,Manhattan,https://lebnyc.com/,,Dry-aged Angus Le Burger,pilot-100
Chez Margaux,West Village,Manhattan,https://www.chez-margaux.com/,,Members-only Jean-Georges burger,pilot-100
L'Artusi,West Village,Manhattan,https://www.lartusi.com/,http://lartusi.com/menu/,"Signature L'burger, Italian hotspot",pilot-100
Joseph Leonard,West Village,Manhattan,http://www.josephleonard.com/,,"English muffin burger, neighborhood bistro",pilot-100
La Bonbonniere,West Village,Manhattan,unknown,https://labonbonniere.netwaiter.com/,"Old-school beefburger, cash-only diner",pilot-100
The Little Owl,West Village,Manhattan,https://www.thelittleowlnyc.com/,https://thelittleowl.netwaiter.com/new-york/menu/,Pat LaFrieda bacon cheeseburger,pilot-100
The Waverly Inn,West Village,Manhattan,http://www.waverlynyc.com/,https://cititour.com/NYC_Restaurants/The-Waverly-Inn/1178/menu,Historic Bank Street classic burger,pilot-100
Bell Book & Candle,West Village,Manhattan,http://bbandcnyc.com/,https://menupages.com/bell-book-candle/141-w-10th-st-new-york,Rooftop patty-melt BBC Burger,pilot-100
Rosemary's,West Village,Manhattan,https://www.rosemarysnyc.com/location/rosemarys-west-village/,https://menupages.com/rosemarys-enoteca-trattoria/18-greenwich-avenue-new-york,"Dry-aged burger, rooftop Italian spot",pilot-100
Jack's Wife Freda,West Village,Manhattan,http://www.jackswifefreda.com/,https://jackswifefreda.com/menu/,"Short-rib Jack's Burger, Mediterranean",pilot-100
Cowgirl,West Village,Manhattan,http://www.cowgirlnyc.com/,https://www.cowgirlnyc.com/menus,Southern Tex-Mex half-pounder burger,pilot-100
7th Street Burger,East Village,Manhattan,https://7thstreetburger.com/,,"Smashburger joint, multiple locations",pilot-100
Paul's Da Burger Joint,East Village,Manhattan,http://paulsburgersnyc.com/,,Classic corner burger shop,pilot-100
Whitmans,East Village,Manhattan,https://whitmansnyc.com/,,Juicy Lucy specialist,pilot-100
Royale,East Village,Manhattan,http://royalebarnyc.com/,https://cititour.com/NYC_Restaurants/Royale/2781/menu,Neighborhood bar with burgers,pilot-100
Nowon,East Village,Manhattan,https://www.nowonusa.com/,,"Korean-American, legendary cheeseburger",pilot-100
Brindle Room,East Village,Manhattan,https://brindleroomny.com/,,"Dry-aged burger, cozy bistro",pilot-100
The Smith,East Village,Manhattan,https://thesmithrestaurant.com/location/east-village/,,"American brasserie, burger menu",pilot-100
Gotham Burger Social Club,Lower East Side,Manhattan,http://gbsc.nyc/,,Smash burger specialist,pilot-100
Cervo's,Lower East Side,Manhattan,http://cervosnyc.com/,,"Iberian spot, lamb burger (not beef)",pilot-100
The Flower Shop,Lower East Side,Manhattan,http://theflowershopnyc.com/,,"Retro bar, dry-aged burgers",pilot-100
Dudley's,Lower East Side,Manhattan,https://www.dudleysnyc.com/,,"Australian pub, Bronte burger",pilot-100
Raoul's,SoHo,Manhattan,http://raouls.com/,,"Burger au poivre, bar menu",pilot-100
SoHo Park,SoHo,Manhattan,http://www.sohoparknyc.com,,"Beer garden, Park burger",pilot-100
Cafe Habana,SoHo,Manhattan,https://www.cafehabana.com/,https://www.cafehabana.com/menu/cafe-habana-nyc/,"Cuban-Mexican, cheeseburger served",pilot-100
Fanelli Cafe,SoHo,Manhattan,https://fanellicafe.nyc/,,"Historic pub, bison burger",pilot-100
Cafe Chelsea,Chelsea,Manhattan,https://www.cafechelseanyc.com,,Dry-aged beef burger,pilot-100
Cookshop,Chelsea,Manhattan,https://www.cookshopny.com/,,"Seasonal American, burger offered",pilot-100
Trailer Park Lounge,Chelsea,Manhattan,http://trailerparklounge.com/,,"Kitschy grill, multiple burgers",pilot-100
Peter McManus Cafe,Chelsea,Manhattan,http://www.mcmanus.nyc/,,"Irish pub, famous cheeseburger",pilot-100
Minetta Tavern,Greenwich Village,Manhattan,https://www.minettatavernny.com/,https://wnam-cdn.menuweb.menu/storage/media/companies_menu_pdf/114779189/minetta-tavern-broad-channel-menu.pdf,Black Label burger,pilot-100
Dante,Greenwich Village,Manhattan,https://dante-nyc.com,,"Italian bar, signature burger",pilot-100
Lord's,Greenwich Village,Manhattan,http://lordsenglish.com/,,"British pub, rarebit burger",pilot-100
Keens,Midtown,Manhattan,https://keens.com/,,"Steakhouse pub, burger served",pilot-100
Burger Joint,Midtown,Manhattan,https://www.burgerjointny.com/,,Hidden hotel burger counter,pilot-100
P.J. Clarke's,Midtown,Manhattan,https://pjclarkes.com,,"Classic saloon, Cadillac burger",pilot-100
Peter Luger Steak House,Williamsburg,Brooklyn,https://peterluger.com/,,Legendary lunch-only steakhouse burger,pilot-100
Diner,Williamsburg,Brooklyn,https://www.dinernyc.com/,,Grass-fed burger in dining car,pilot-100
The Commodore,Williamsburg,Brooklyn,https://www.thecommodorebrooklyn.com/,https://www.thecommodorebrooklyn.com/s/menus_for_web_3_22_DINNER.pdf,Southern pub classic hamburger,pilot-100
Dram Shop,Park Slope,Brooklyn,https://dramshopbrooklyn.com,https://dramshopbrooklyn.com/menu,Gastropub with multiple beef burgers,pilot-100
Fulton Burger,Park Slope,Brooklyn,https://fultonburger.com/brooklyn,,Local counter-service burger joint,pilot-100
Walter's,Fort Greene,Brooklyn,https://www.waltersbrooklyn.com,https://www.waltersbrooklyn.com/menu/lunch/,Classic pub Walter's Burger,pilot-100
The Great Georgiana,Fort Greene,Brooklyn,http://www.thegreatgeorgiana.com/,,Classic burger at local pub,pilot-100
Clover Club,Carroll Gardens,Brooklyn,http://cloverclubny.com/,,Cocktail bar prime beef burger,pilot-100
The Long Island Bar,Cobble Hill,Brooklyn,http://thelongislandbar.com/,,Famed double-patty LI burger,pilot-100
Emily,Clinton Hill,Brooklyn,https://www.pizzalovesemily.com/location/brooklyn/,,Emmy Burger pizza restaurant,pilot-100
James,Prospect Heights,Brooklyn,https://www.jamesrestaurantny.com/,,Upscale grass-fed Angus burger,pilot-100
Roberta's,Bushwick,Brooklyn,https://www.robertaspizza.com/,https://cdn.prod.website-files.com/696159b904660542e3efba81/6a7f524efec40c50edce593e_Bushwick%20Dinner%208_14_26.pdf,"Pizzeria cheeseburger, open daily",pilot-100
Red Hook Tavern,Red Hook,Brooklyn,http://www.redhooktavern.com/,,Dry-aged burger landmark,pilot-100
Soho Diner,SoHo,Manhattan,,,Diner; Soho Impossible Burger,downtown
Little Prince,SoHo,Manhattan,,,French bistro with famous burger,downtown
Black Tap,SoHo,Manhattan,https://blacktap.com/location/soho/,,Craft burger joint and shakes,downtown
Bronson's Burgers,SoHo,Manhattan,,,Smash-burger spot; thick butter-toasted buns,downtown
Hamburger America (SoHo),SoHo,Manhattan,,,Smash-burger counter,downtown
Balthazar,SoHo,Manhattan,,,French brasserie; Balthazar Burger,downtown
Broome Street Bar,SoHo,Manhattan,,,Bar and restaurant with burgers,downtown
The Mercer Kitchen,SoHo,Manhattan,,,Jean-Georges hotel restaurant; Mercer Burger,downtown
Au Cheval,Tribeca,Manhattan,,,Burger-focused Chicago import,downtown
Black Burger,Tribeca,Manhattan,https://blackburger.co/,,Late-night smash burgers; 386 Canal,downtown
Burger Village,Tribeca,Manhattan,https://www.burgervillage.com/,,Organic grass-fed burger joint; 120 Church St,downtown
The Odeon,Tribeca,Manhattan,,,French-American bistro with burger,downtown
Walker's,Tribeca,Manhattan,http://walkersbarnyc.com/,,Historic tavern; 8oz sirloin burger,downtown
Square Diner,Tribeca,Manhattan,,,Classic diner; 33 Leonard St,downtown
Serafina,Tribeca,Manhattan,,,Italian restaurant; filet mignon burger,downtown
Greenwich Street Tavern,Tribeca,Manhattan,,,Tavern burger,downtown
Frenchette,Tribeca,Manhattan,,,French bistro; steakhouse-style menu,downtown
Bill's Bar & Burger Downtown,Financial District,Manhattan,,,Burger chain; FiDi and Battery Park City,downtown
77 Burger,Financial District,Manhattan,,,Burger joint,downtown
The Malt House,Financial District,Manhattan,,,Pub with burgers,downtown
Underdog,Financial District,Manhattan,,,Bar with burgers,downtown
O'Hara's Restaurant and Pub,Financial District,Manhattan,,,Irish pub with burgers,downtown
Clinton Hall,Financial District,Manhattan,,,Beer hall with burgers,downtown
Burger By Day,Lower East Side,Manhattan,,,Burger spot at 242 Grand St,downtown
Brooklyn Beef N' Cheese,Financial District,Manhattan,,,Burger spot,downtown
London & Martin Co.,Financial District,Manhattan,,,Gastropub; wagyu burgers,downtown
Manhatta,Financial District,Manhattan,,,Upscale American; burger on menu,downtown
The Wall Street Hotel,Financial District,Manhattan,,,Hotel restaurant; burger on menu,downtown
Delmonico's,Financial District,Manhattan,,,Classic steakhouse; burger at bar,downtown
Broadstone Bar & Kitchen,Financial District,Manhattan,,,Bar and kitchen; burgers,downtown
Cobble & Co.,Financial District,Manhattan,,,Burger spot with milkshakes; Seaport,downtown
ZAZA,Financial District,Manhattan,,,Modern diner with burgers,downtown
Fraunces Tavern,Financial District,Manhattan,,,Historic tavern; Sam's Tavern Burger (verified on menu),downtown
The Chelsea Bell,Chelsea,Manhattan,,,Bar and grill; Chelsea Burger,downtown
Chelsea Square Restaurant,Chelsea,Manhattan,https://www.chelseasquarediner.com/,,24-hour diner; broiled jumbo beefburger,downtown
Coppelia,Chelsea,Manhattan,http://www.coppelianyc.com,,24-hour Cuban diner; Hamburguesa,downtown
Cafeteria,Chelsea,Manhattan,,,Comfort-food bar and grill,downtown
Dallas BBQ,Chelsea,Manhattan,,,Barbecue restaurant with burgers,downtown
Burger & Lobster,Midtown,Manhattan,,,Burger-and-lobster restaurant at 132 W 43rd St (Bryant Park),downtown
Frying Pan,West Chelsea,Manhattan,,,Floating bar at Chelsea Piers; bar food and burgers,downtown
Wildflower,Chelsea,Manhattan,,,Cocktail bar; smash burgers,downtown
Twist Bar,Chelsea,Manhattan,,,Cocktail bar serving burgers,downtown
O'Toole's Way,Chelsea,Manhattan,,,Irish restaurant with burgers,downtown
Empire Diner,Chelsea,Manhattan,,,Iconic American diner near High Line,downtown
The Chelsea Pub,Chelsea,Manhattan,http://chelseapubnyc.com,,Pub fare; sliders and burgers,downtown
Black Iron Burger,Midtown,Manhattan,,,Burger joint at 245 W 38th St; voted one of NYC's best,downtown
Emmy Squared Pizza East Village,East Village,Manhattan,,,Pizza spot with acclaimed burger,downtown
The Lion's Bar & Grill,East Village,Manhattan,https://www.thelionsbar.com/,,Bar and grill; dry-aged cheeseburger,downtown
Virginia's,East Village,Manhattan,,,Neighborhood restaurant with burgers,downtown
Black Market,East Village,Manhattan,,,Burger and bar,downtown
The Grafton,East Village,Manhattan,http://www.thegraftonnyc.com/,,Irish sports pub with burger,downtown
St. Mark's Burgers & Dogs,East Village,Manhattan,,,Counter joint for burgers and dogs,downtown
Burgers on B,East Village,Manhattan,,,Burger counter,downtown
Grillify-NYC,East Village,Manhattan,,,Halal grill; smash burgers,downtown
Populares,East Village,Manhattan,,,EV burger counter,downtown
The Hairy Lemon,East Village,Manhattan,,,Irish pub; burger menu,downtown
Sunday Dreamin,East Village,Manhattan,,,Burger counter,downtown
8-Bit Bites,East Village,Manhattan,,,Arcade bar with burgers,downtown
Crispy Burger,East Village,Manhattan,https://1588burger.com/,,Chicken and burger spot,downtown
Tallgrass Burger,East Village,Manhattan,,,Burger counter,downtown
Chick-N-Smash,East Village,Manhattan,,,Chicken spot; smash burgers,downtown
Superiority Burger,East Village,Manhattan,,,Vegetarian burger counter,downtown
McDonald's (East Village),East Village,Manhattan,,,Fast-food chain,downtown
Mary O's Irish Pub,East Village,Manhattan,,,Irish pub with burger,downtown
Bowery Meat Company,East Village,Manhattan,,,Steakhouse; burger on menu,downtown
The Wren,East Village,Manhattan,,,Irish pub with kitchen; burger,downtown
The Winslow,East Village,Manhattan,https://thewinslownyc.com/,,Gin house and eatery; Winslow burger,downtown
Croxley Ale House,East Village,Manhattan,http://www.croxley.com/,,Ale house; burger menu,downtown
Poco,East Village,Manhattan,,,Restaurant; beef sliders,downtown
Idle Hands,East Village,Manhattan,http://idlehandsbar.com,,Bourbon bar; burger menu,downtown
Professor Thom's,East Village,Manhattan,http://www.professorthoms.com/,,Sports bar; Go Blue burger,downtown
Destination Bar & Grille,East Village,Manhattan,http://destinationbarnyc.com,,Bar and grill; sliders,downtown
Hearty & Healthy,East Village,Manhattan,https://heartyandhealthynyc.com/,,Healthy comfort spot; Wuddaburger,downtown
St Dymphna's,East Village,Manhattan,,,Irish pub with pub food,downtown
Veselka,East Village,Manhattan,,,Ukrainian diner; char-broiled burgers (verified on menu),downtown
Blue Road Burger,Lower East Side,Manhattan,https://blueroadnyc.com/,,Burger joint,downtown
Holy Burger,Lower East Side,Manhattan,https://order.toasttab.com/online/holy-cow-lower-east-side-34-canal-st,,Halal burger spot at 34 Canal St (the brand's original shop),downtown
The Mayfly,Lower East Side,Manhattan,,,New American; burger on menu,downtown
Bar Revival,Lower East Side,Manhattan,,,Cocktail bar with food; burger,downtown
Balvanera,Lower East Side,Manhattan,,,Argentine spot with burger,downtown
Flyfish Club,Lower East Side,Manhattan,,,Restaurant; burger menu,downtown
Casa 13urger,Lower East Side,Manhattan,,,Burger counter,downtown
Sonnyboy,Lower East Side,Manhattan,,,Restaurant with burger,downtown
Dirty French,Lower East Side,Manhattan,,,French restaurant; Burger Maison,downtown
El Castillo de Jagua,Lower East Side,Manhattan,,,Dominican diner with burger,downtown
Zaab Burger,Lower East Side,Manhattan,https://zaabzaabnyc.com,,Thai-inspired burger counter,downtown
Katz's Delicatessen,Lower East Side,Manhattan,,,Deli; burgers on grill menu (verified),downtown
The Nines,NoHo,Manhattan,http://ninesnyc.com/,,Cocktail bar; burger on menu,downtown
Raf's,NoHo,Manhattan,http://rafsnewyork.com/,,Italian spot; dry-aged burger,downtown
Great Jones Distilling Co.,NoHo,Manhattan,http://www.greatjonesdistillingco.com/,,Distillery restaurant; The Burger,downtown
Sláinte Bar and Lounge,NoHo,Manhattan,,,Irish pub with burger menu,downtown
El Sazón R.D.,Chinatown,Manhattan,,,Dominican spot with burger,downtown
Spring Cafe,Chinatown,Manhattan,,,"Vegan cafe at 153 Centre St; plant-based burgers only (Beyond, tofu, mushroom)",downtown
K.O. Burger,Chinatown,Manhattan,,,Burger counter,downtown
McDonald's (Chinatown),Chinatown,Manhattan,,,Fast-food chain; Canal Street,downtown
Emily,West Village,Manhattan,,,Pizza restaurant; Emmy Burger (West Village location),downtown
Fairfax,West Village,Manhattan,,,Cafe/wine bar; well-known burger,downtown
Wild Cherry,West Village,Manhattan,https://www.wildcherrynyc.com/,,Supper club; signature cheeseburger,downtown
Crevette,West Village,Manhattan,,,French restaurant; limited smash burger,downtown
The Surf Lodge,West Village,Manhattan,,,American restaurant/bar,downtown
The Bedford,Financial District,Manhattan,,,Gastropub at 55 Stone St (Manhattan outpost of the Williamsburg original); Bedford Plank Burger,downtown
Bandits Burger + Dive,West Village,Manhattan,https://www.banditsnyc.com/,,Burger joint and cocktail bar,downtown
The Loyal,West Village,Manhattan,,,Brasserie,downtown
Stash Burger,Greenwich Village,Manhattan,https://stashburgers.com/,,Smashburger joint,downtown
Butter Smashburgers,Greenwich Village,Manhattan,,,Burger joint on MacDougal,downtown
Wicked Willy's,Greenwich Village,Manhattan,,,Bar with specialty burgers,downtown
Kettle of Fish,Greenwich Village,Manhattan,,,Sports bar with food,downtown
The Half Pint,Greenwich Village,Manhattan,https://thehalfpint.com/,,Gastropub; Angry Burger,downtown
Off the Wagon,Greenwich Village,Manhattan,,,Sports bar with food,downtown
Amity Hall,Greenwich Village,Manhattan,,,Beer hall with food,downtown
Blind Tiger Ale House,Greenwich Village,Manhattan,,,Craft-beer pub with food,downtown
GMT Tavern,Greenwich Village,Manhattan,http://www.gmtnyc.com/,,British gastropub; Meantime burger,downtown
Pubkey,Greenwich Village,Manhattan,http://pubkey.bar/,,Gastropub; smashburgers,downtown
Cecchi's,Greenwich Village,Manhattan,https://cecchis.nyc/,,American bar and grill; Cecchi's Burger,downtown
The Red Lion,Greenwich Village,Manhattan,http://redlionnyc.com/,,Pub; Red Lion Burger,downtown
Da Andrea,Greenwich Village,Manhattan,,,Italian restaurant; burgers per reviews,downtown
Society Cafe,Greenwich Village,Manhattan,,,Hotel restaurant (Walker Hotel); brisket burger,downtown
Pop's of Brooklyn,Greenwich Village,Manhattan,,,Burger joint,downtown
Peculier Pub,Greenwich Village,Manhattan,http://www.peculierpub.com/,,Pub; Ultimate Burger,downtown
Garage Restaurant and Cafe,Greenwich Village,Manhattan,http://garagejazz.com/,,Casual American restaurant; burgers on menu,downtown
Knickerbocker Bar & Grill,Greenwich Village,Manhattan,,,American bar and grill,downtown
Jekyll & Hyde,Greenwich Village,Manhattan,,,American pub/restaurant,downtown
Caroll Place,Greenwich Village,Manhattan,,,Wine bar and gastropub,downtown
Old Homestead Steakhouse,Meatpacking District,Manhattan,https://www.theoldhomesteadsteakhouse.com/,,Steakhouse; multiple burgers,downtown
Rory's Rooftop,Meatpacking District,Manhattan,http://rorysrooftop.com/,,American rooftop bar; smash/Rodeo burger,downtown
Sirrah,Meatpacking District,Manhattan,https://sirrahny.com/,,Modern French steakhouse; Sirrah Burger,downtown
STK Meatpacking,Meatpacking District,Manhattan,,,Steakhouse at 412 W 15th St (moved there from Little W 12th St); Wagyu burger,downtown
BFB Highline,Meatpacking District,Manhattan,,,Burger spot,downtown
Gansevoort Rooftop,Meatpacking District,Manhattan,https://www.gansevoorthotelgroup.com/gansevoort-meatpacking-nyc/eat-drink/gansevoort-rooftop,,Hotel rooftop; House Burger,downtown
Brass Monkey,Meatpacking District,Manhattan,,,Bar; Char Grilled Beef Burger,downtown
The Chester,Meatpacking District,Manhattan,,,American bistro at Gansevoort Hotel; Chester Burger,downtown
The Collective,Meatpacking District,Manhattan,,,American restaurant,downtown
The Vinatta Project,Meatpacking District,Manhattan,,,Bar food,downtown
Puttery,Meatpacking District,Manhattan,,,Mini-golf venue; smash burgers,downtown
CakeBurgers,East Harlem,Manhattan,https://www.cakeburgersny.com/,,1950s retro malt shop at 400 E 120th; gourmet burgers plus cupcakes,uptown
East Harlem Bottling Co.,East Harlem,Manhattan,,,Craft-beer bistro at 107th & Lexington; bistro menus typically include burgers,uptown
Ricardo's Steakhouse,East Harlem,Manhattan,,,Steakhouse on 2nd Ave; steakhouses typically serve burgers,uptown
White Castle,East Harlem,Manhattan,https://www.whitecastle.com/,,Iconic slider chain at 351 E 103rd; mini burgers are the core menu,uptown
Clemente Bar,Flatiron,Manhattan,,,Intimate bar known for the Clemente burger,uptown
Gramercy Tavern,Flatiron,Manhattan,,,Tavern famous for the Tavern Burger (available in the Tavern room),uptown
Motek Flatiron,Flatiron,Manhattan,,,Middle Eastern restaurant serving wagyu and Arayes burgers,uptown
Shake Shack (Madison Square Park),Flatiron,Manhattan,,,Original location of the burger chain in Madison Square Park,uptown
S&P Lunch,Flatiron,Manhattan,,,Jewish-style diner at 174 5th Ave; Prairie Burger and classic cheeseburger,uptown
Abbey Tavern,Gramercy,Manhattan,,,Irish bar/restaurant on the Gramercy/Kips Bay border; burgers on menu,uptown
Diner 24 NYC,Gramercy,Manhattan,,,24-hour diner; known for its Double Smash Burger,uptown
L'Express,Gramercy,Manhattan,,,French bistro known for its lamb burger,uptown
Molly's Shebeen Bar + Restaurant,Gramercy,Manhattan,,,Irish pub; reviewers praise its burgers,uptown
Popchew Burger,Gramercy,Manhattan,https://www.popchew.com/,,Smash-burger walk-up window at 119 E 15th St,uptown
Saperavi,Gramercy,Manhattan,,,Georgian restaurant serving a beef smash burger,uptown
Amy Ruth's,Harlem,Manhattan,,,Soul food restaurant on W 116th; diner-style soul food menus often include burgers,uptown
Angel of Harlem,Harlem,Manhattan,,,Gastro pub; dinner menu includes the Frederick Douglass Burger plus sliders,uptown
B2 Harlem,Harlem,Manhattan,,,"Modern soul food restaurant; menu includes The B² Burger (prime blend, smoked gouda)",uptown
BLVD Bistro,Harlem,Manhattan,,,French-soul bistro on Lenox Ave; bistro menus typically include burgers,uptown
Corner Social,Harlem,Manhattan,,,Neighborhood pub on Lenox Ave; pub fare typically includes burgers,uptown
Dinosaur Bar-B-Que,Harlem,Manhattan,,,BBQ joint at 700 W 125th; BBQ spots typically serve burgers,uptown
Harlem Public,Harlem,Manhattan,http://www.harlempublic.com,,"Pub at 3612 Broadway known for burgers (BBQ pork burger, peanut butter burger, parmesan-crusted burger)",uptown
Harlem Shake,Harlem,Manhattan,https://harlemshake.com,,Dedicated Harlem burger joint; featured on best-burger lists for its Hot Mess and Harlem Classic,uptown
